,Movies,Plots
0,Indiana Jones and the Kingdom of the Crystal Skull,"On the way to the ancient city, Jones and his team fight their way out of the KGB's clutches, with Dovchenko being devoured by a swarm of army ants."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac informs Jones that he is a CIA double agent.
0,Indiana Jones and the Kingdom of the Crystal Skull,"After surviving three waterfalls in an amphibious vehicle, Jones and Oxley find a skull-like rock formation that leads them to Akator, unaware that Mac had lied about being a CIA agent."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones's team evades the city's guardians, gains access to the temple, and finds many ancient artifacts."
0,Indiana Jones and the Kingdom of the Crystal Skull,Aliens are studying the different cultures of Earth.
0,Indiana Jones and the Kingdom of the Crystal Skull,One of the 13 crystal skeletons that they found is missing its skull.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The skeletons offer to give a reward to the group when Spalko arrives, using Oxley as a translator."
0,Indiana Jones and the Kingdom of the Crystal Skull,She is killed by the aliens when they reanimate and transfer an overwhelming amount of knowledge into her mind.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Mac and the rest of the Soviets are drawn in when a portal is activated, while Jones and his team are able to escape."
0,Indiana Jones and the Kingdom of the Crystal Skull,The waters of the Amazon flood the hollow left by the flying saucer after it leaves the ruins.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and he is married to Oxley, who had regained his sanity."
0,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, Soviet KGB agents kidnapped Indiana Jones and his partner George MacHale."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The Soviets force Jones to locate a mummified alien corpse from the Roswell incident, which he was forced to work on 10 years earlier, after they invaded a secret government warehouse in Nevada."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac became a double agent for the KGB after retrieving the corpse.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tried to steal the body, but was defeated by Spalko's henchman Dovchenko, and escaped to a nearby model town."
0,Indiana Jones and the Kingdom of the Crystal Skull,"He takes shelter in a lead-lined refrigerator, and FBI agents eventually rescue him, and suspect him of working for the soviets."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Marshall College dean Charles Stanforth resigned to spare Jones from being fired, and Jones was put on an indefinite leave of absence."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones' former colleague, Professor Harold Oxley, found a crystal skull in Peru, but has since been kidnapped along with his mother, who went after him."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tells Mutt of the legend of crystal skulls found in Akator, and he also gets a letter from his mother, which contains a riddle from Oxley."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Two Soviet agents attempt to capture them, but Jones and Mutt escape and reach Peru."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The grave of Francisco de Orellana, a Conquistador who searched for Akator, can be found at the local hospital."
0,Indiana Jones and the Kingdom of the Crystal Skull,Jones said that Oxley returned the skull to the grave.
0,Indiana Jones and the Kingdom of the Crystal Skull,"While the two are leaving the tomb, Mac and the Soviets take them hostage and deliver them to the soviet camp in the Amazon jungle."
0,Indiana Jones and the Kingdom of the Crystal Skull,"There, the pair find an addled Oxley and a woman who tells Jones that he is his son."
0,Indiana Jones and the Kingdom of the Crystal Skull,Spalko believes that the crystal skull is an alien life form that has great psychic power.
0,Indiana Jones and the Kingdom of the Crystal Skull,Finding more skulls in Akator will allow the Soviet Union to control the world.
0,Indiana Jones and the Kingdom of the Crystal Skull,Jones realized that Oxley was trying to communicate through automatic writing and found a route to Akator.
0,Indiana Jones and the Kingdom of the Crystal Skull,"On the way to the ancient city, Jones and his team fight their way out of the clutches of the KGB, with Dovchenko being devoured by army ants."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac told Jones he is a CIA double agent.
0,Indiana Jones and the Kingdom of the Crystal Skull,"After surviving three waterfalls in an amphibious vehicle, Jones and Oxley discover a skull-like rock formation that leads them to Akator, unaware that Mac had lied about being a CIA agent."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones' team evades the city's guardians, gains access to the temple, and finds artifacts from many ancient civilizations."
0,Indiana Jones and the Kingdom of the Crystal Skull,The aliens are studying the cultures of Earth.
0,Indiana Jones and the Kingdom of the Crystal Skull,One of the 13 crystal skeletons they found is missing its skull.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The skeletons offer a reward to the group when Spalko replaces the skull, using Oxley as a translator."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The aliens reanimate and transfer an overwhelming amount of knowledge into her mind, killing her, as she demands to simply know all the knowledge of the aliens."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Mac and the rest of the Soviets are drawn in when a portal is activated, and Jones and his team are able to escape."
0,Indiana Jones and the Kingdom of the Crystal Skull,The waters of the Amazon flood the hollow left by the flying saucer as it rises from the ruins.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and he is married to Marion, who has regained his sanity, and Oxley."
0,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, Soviet KGB agents kidnapped Indiana Jones and his partner George Mac."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The Soviets force Jones to locate a mummified alien corpse from the Roswell incident, which he was forced to work on 10 years earlier, afterinfiltrating a secret government warehouse in Nevada labeled Hangar 51."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac revealed he was a double agent after retrieving the corpse.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tried to steal the body, but was defeated by Spalko's henchman Dovchenko, before escaping to a nearby model town."
0,Indiana Jones and the Kingdom of the Crystal Skull,"He takes shelter in a lead-lined refrigerator, and FBI agents eventually rescue him, and suspect him of working for the Soviets"
0,Indiana Jones and the Kingdom of the Crystal Skull,Charles Stanforth resigned as dean of Marshall College to spare Jones from being fired.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones' former colleague, Professor Harold Oxley, found a crystal skull in Peru, but has since been kidnapped along with Mutt's mother."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tells Mutt of the legend of crystal skulls found in Akator, and he also gets a letter from his mother, which contains a riddles from Oxley."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Two Soviet agents attempt to capture them, but Jones and Mutt escape and reach the country."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The grave of Francisco de Orellana, a Conquistador who searched for Akator, is located on the floor of the local psychiatric hospital."
0,Indiana Jones and the Kingdom of the Crystal Skull,Jones said that Oxley had returned the skull to it's rightful location.
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac and the Soviets take the two hostages while they are leaving the tomb and deliver them to the Soviet camp in the Amazon jungle.
0,Indiana Jones and the Kingdom of the Crystal Skull,"There, the pair find an addled Oxley and a woman who is actually an old partner of Jones'."
0,Indiana Jones and the Kingdom of the Crystal Skull,Spalko thinks the crystal skull is an alien life form that has psychic powers.
0,Indiana Jones and the Kingdom of the Crystal Skull,Finding more skulls in Akator will allow the Soviet Union to control the world through telepathy.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Oxley is trying to communicate through automatic writing, and Jones locates a way to Akator."
0,Indiana Jones and the Kingdom of the Crystal Skull,"On the way to the ancient city, Jones and his team fight their way out of the clutches of the KGB and Dovchenko is devoured by a swarm of army ants."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac tells Jones that he is a CIA double agent.
0,Indiana Jones and the Kingdom of the Crystal Skull,"After surviving three waterfalls in an amphibious vehicle, Jones and Oxley identify a skull-like rock formation that leads them to Akator, unaware that Mac lied about being a CIA agent."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones's team evades the city's guardians, gains access to the temple, and finds a lot of ancient artifacts."
0,Indiana Jones and the Kingdom of the Crystal Skull,The aliens are studying different cultures.
0,Indiana Jones and the Kingdom of the Crystal Skull,One of the 13 crystal skeletons is missing a skull.
0,Indiana Jones and the Kingdom of the Crystal Skull,The skeletons offer to give a reward to the group when Spalko arrives and replaces the skull.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The aliens reanimate and transfer an overwhelming amount of knowledge into her mind, killing her, she demands to simply know all the knowledge of the aliens."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac and the rest of the Soviets are drawn in when a portal is activated and Jones and his team are able to escape.
0,Indiana Jones and the Kingdom of the Crystal Skull,The waters of the Amazon flood the hollow left by a flying saucer that rises from the ruins as the city falls.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and he is married to Marion, who has regained her sanity, and Oxley."
1,Skyfall,James Bond and Eve Moneypenny are chasing a mercenary who stole a hard drive containing details of undercover agents.
1,Skyfall,"Moneypenny accidentally hit Bond, who fell into a river, when M ordered him to shoot Patrice despite not having a clear shot."
1,Skyfall,Bond is presumed dead and someone escapes with a hard drive.
1,Skyfall,"Three months later, due to a public inquiry into M's handling of the stolen hard drive, she is pressured to retire by the chairman of the Intelligence and Security Committee of Parliament."
1,Skyfall,"M received a taunting computer message moments before the MI6 building exploded, despite the fact that she claims she is still useful."
1,Skyfall,Bond returns to service in London after learning of the attack.
1,Skyfall,"M approves his return to the field after he fails a series of physical, medical, and psychological exams."
1,Skyfall,"Q, MI6's new quartermaster, gives him a radio beacon and a pistol."
1,Skyfall,Bond is unable to stop Patrice from killing a target.
1,Skyfall,Bond can't learn his employer's identity until the two fight and Patrice falls to his death.
1,Skyfall,Moneypenny joined Bond in his investigation.
1,Skyfall,Bond found a casino token that was intended to be used for the assassination and led him to a casino in Macau.
1,Skyfall,Bond is approached by someone.
1,Skyfall,Bond believes she was a sex slave rescued by a criminal who now employs her.
1,Skyfall,She promises to help if Bond kills her employer.
1,Skyfall,Bond and Sévérine are on a yacht.
1,Skyfall,"They travel to an abandoned island off the coast of Macau, where the crew captures and delivers them to Svérine's employer."
1,Skyfall,Silva became an MI6 agent and then turned to cyber terrorism.
1,Skyfall,Silva is captured by MI6 and sent to Britain.
1,Skyfall,Silva was able to escape after Q inadvertently gave it access to the MI6 server.
1,Skyfall,"Silva wanted to be captured as part of a plan to kill M, who he hates for betraying him to the Chinese government in 1997, so he tried to take his own life."
1,Skyfall,Silva escapes his cell and Bond chases him through the London Underground to stop Silva from attacking M at a Parliament inquiry.
1,Skyfall,"Instructing Q and Bill to leave an electronic trail for Silva to follow, Bond uses his car to take M to Skyfall, his childhood home in the Scottish Highlands."
1,Skyfall,"They meet Skyfall's gamekeeper Kincade, and together they set up a series of booby traps."
1,Skyfall,"Bond, M, and Kincade kill most of Silva's men, but M is wounded."
1,Skyfall,Bond sent M and Kincade through a priest hole to hide in a nearby chapel after Silva arrived by helicopter with more men and heavy weapons.
1,Skyfall,Bond escapes down the same tunnel as the house and helicopter are destroyed.
1,Skyfall,"Silva survived the destruction of the house, following Kincade and M to the chapel."
1,Skyfall,"Silva forced his gun into M's hand and pressed his temple to hers, begging her to kill them both."
1,Skyfall,Silva was killed by Bond who threw a knife into his back.
1,Skyfall,M died in Bond's arms.
1,Skyfall,Moneypenny introduces herself to Bond after M's funeral and tells him that she is retiring from fieldwork to become a secretary.
1,Skyfall,Bond told Mallory he was ready to get back to work.
1,Skyfall,"James Bond and Eve Moneypenny are in Istanbul, chasing a mercenary who stole a hard drive containing details of undercover agents."
1,Skyfall,"Moneypenny accidentally hit Bond, who fell into a river, after M ordered him to shoot Patrice, despite not having a clear shot."
1,Skyfall,Bond is presumed dead and a man escapes with a hard drive.
1,Skyfall,"Three months later, due to a public inquiry into M's handling of the stolen hard drive, she is pressured to retire by the chairman of the Intelligence and Security Committee of Parliament and a former SAS officer."
1,Skyfall,"M received a taunting computer message moments before the MI6 building exploded, despite her claims that she is still useful."
1,Skyfall,"After learning of the attack, Bond returns to service in London."
1,Skyfall,"M approves his return to the field after he fails a series of physical, medical, and psychological tests."
1,Skyfall,"Q, MI6's new quartermaster, gave him a radio beacon and a pistol."
1,Skyfall,Bond is unable to prevent a target from being killed.
1,Skyfall,Bond has to learn his employer's identity before the two fight.
1,Skyfall,Moneypenny joins Bond in his investigation.
1,Skyfall,Bond found a casino token that was supposed to be used for the assassination and led him to a casino in Macau.
1,Skyfall,Bond is approached by Svérine.
1,Skyfall,Bond thinks she was a sex slave rescued by a criminal who now employs her.
1,Skyfall,She promised to help if Bond killed her employer.
1,Skyfall,Bond and Sévérine were on the yacht.
1,Skyfall,"They travel to an abandoned island off the coast of Macau, where the crew captures and delivers them to their boss."
1,Skyfall,Silva was once an MI6 agent and turned to cyber terrorism.
1,Skyfall,Silva is captured by the MI6 and sent to Britain.
1,Skyfall,Silva was able to escape after Q inadvertently gave him access to the MI6 server.
1,Skyfall,"Silva wanted to be captured as part of a plan to kill M, who he hates for betraying him to the Chinese government in 1997, leaving him to be tortured and killed by a suicide attempt."
1,Skyfall,Silva escapes his cell and Bond chases him through the London Underground to prevent Silva from attacking M at a Parliament inquiry.
1,Skyfall,"Instructing Q and Bill to leave an electronic trail for Silva to follow, Bond takes M to Skyfall, his childhood home in the Scottish Highlands."
1,Skyfall,"They met Skyfall's gamekeeper Kincade, and together they set up a series of booby traps."
1,Skyfall,"When Silva's men arrive, Bond, M, and Kincade kill most of them, but M is wounded."
1,Skyfall,"Silva arrives by helicopter with more men and heavy weapons, so Bond sends M and Kincade through a priest hole to hide in a nearby chapel, and rigs propane tanks to explode."
1,Skyfall,Bond escapes down the same tunnel when the house and helicopter are destroyed.
1,Skyfall,Silva is the one who survived the destruction of the house.
1,Skyfall,Silva forced his gun into M's hand and begged her to kill them both.
1,Skyfall,Silva is killed by Bond who threw a knife into his back.
1,Skyfall,M dies in Bond's arms.
1,Skyfall,Moneypenny introduces herself to Bond after M's funeral and tells him she is retiring from fieldwork to become the new secretary.
1,Skyfall,Bond is ready to get back to work.
1,Skyfall,James Bond and Eve Moneypenny are chasing a mercenary who stole a hard drive containing information about undercover agents.
1,Skyfall,"Moneypenny accidentally hit Bond, who fell into a river, when M ordered him to shoot Patrice, despite not having a clear shot."
1,Skyfall,Bond is presumed dead and someone escapes with the hard drive.
1,Skyfall,A public inquiry into M's handling of the stolen hard drive led to her being pressured to retire by the chairman of the Intelligence and Security Committee of Parliament.
1,Skyfall,"M gets a taunting computer message moments before the MI6 building explodes, and she claims she is still useful."
1,Skyfall,"Bond, who used his presumed death to retire, learns of the attack and returns to service in London."
1,Skyfall,"He fails a series of physical, medical, and psychological exams, but M approves his return to the field, ordering him to identify his employer, recover the hard drive, and kill him."
1,Skyfall,"Q, MI6's new quartermaster gave him a radio beacon and a pistol."
1,Skyfall,Bond is unable to prevent a target being killed.
1,Skyfall,Bond can't learn his employer's identity until the two fight and the man falls to his death.
1,Skyfall,Moneypenny is with Bond in his investigation.
1,Skyfall,Bond found a casino token that was intended to be used for the assassination and took him to a casino in Macau.
1,Skyfall,Bond is approached by a person.
1,Skyfall,He believes she was a sex slave rescued by a criminal who now employs her.
1,Skyfall,She warns him that she will help if Bond kills her employer.
1,Skyfall,Bond and Svérine were on the yacht.
1,Skyfall,"They travel to an abandoned island off the coast of Macau, where the crew captures and delivers them to their employer."
1,Skyfall,Silva was once an MI6 agent and then turned to cyber terrorism.
1,Skyfall,Silva is captured by MI6 and is sent to Britain.
1,Skyfall,"At MI6's new underground headquarters, Q attempts to decode Silva's laptop, but inadvertently gives it access to the MI6 server, allowing Silva to escape."
1,Skyfall,"Silva wanted to be captured as part of a plan to kill M, whom he hates for betraying him to the Chinese government in 1997, leaving him to be tortured and killed by a suicide attempt."
1,Skyfall,Silva escapes his cell and Bond chases him through the London Underground to stop Silva from attacking M at the Parliament inquiry.
1,Skyfall,"Instructing Q and Bill to leave an electronic trail for Silva to follow, Bond used his car to take M to Skyfall, his childhood home in the Scottish Highlands."
1,Skyfall,They meet Skyfall's gamekeeper Kincade and together they set up a series of booby traps.
1,Skyfall,"Bond, M, and Kincade kill most of Silva's men but M is wounded."
1,Skyfall,Bond sent M and Kincade through a priest hole to hide in a nearby chapel after Silva arrived with more men and heavy weapons.
1,Skyfall,Bond escapes down the same tunnel after the house and helicopter are destroyed.
1,Skyfall,Silva survived the destruction of the house and followed Kincade and M to the chapel.
1,Skyfall,"Silva forced his gun into her hand and pressed his temple to hers, begging her to kill them both."
1,Skyfall,Bond killed Silva by throwing a knife into his back.
1,Skyfall,M dies in Bond's arms after succumbing to her wounds.
1,Skyfall,Moneypenny introduces herself to Bond after M's funeral and tells him that she is retiring from fieldwork to become the new secretary.
1,Skyfall,Bond is ready to get back to work after meeting with Mallory.
1,Skyfall,James Bond and Eve Moneypenny are chasing a mercenary who stole a hard drive containing information of undercover agents.
1,Skyfall,"Moneypenny accidentally hit Bond, who fell into a river, when M ordered Moneypenny to shoot Patrice, despite not having a clear shot."
1,Skyfall,Bond is presumed dead and someone escapes with his hard drive.
1,Skyfall,"Three months later, due to a public inquiry into M's handling of the stolen hard drive, she is pressured to retire by the chairman of the Intelligence and Security Committee of Parliament, a former SAS officer."
1,Skyfall,"M received a taunting computer message moments before the MI6 building exploded, and she claims she is still useful."
1,Skyfall,Bond returns to service in London after he learns of the attack.
1,Skyfall,"He fails a series of physical, medical, and psychological exams, but M approves his return to the field, ordering him to identify his employer, recover his hard drive, and kill him."
1,Skyfall,"Q, MI6's new quartermaster, gives him a radio beacon and pistol."
1,Skyfall,Bond is unable to stop a target being killed.
1,Skyfall,Bond can't learn his employer's identity until the two fight and Patrice dies.
1,Skyfall,Moneypenny is in Bond's investigation.
1,Skyfall,Bond found a casino token that was supposed to be used for the assassination and took him to a casino in Macau.
1,Skyfall,"There, Bond is approached by someone."
1,Skyfall,"He believes she was a sex slave rescued by a criminal who now employs her, a man Bond wishes to meet."
1,Skyfall,"She promises to help if Bond kills her employer, but she warns him that he is targeted by her bodyguards."
1,Skyfall,Bond and Sévérine are on the yacht.
1,Skyfall,"They travel to an abandoned island off the coast of Macau, where the crew captures them and delivers them to Sévérine's employer."
1,Skyfall,Silva became an MI6 agent and then turned to cyberterrorism.
1,Skyfall,Silva is captured by the MI6 and sent to Britain for rendition.
1,Skyfall,"At MI6's new underground headquarters, Q tries to decode Silva's laptop, but inadvertently gives it access to the MI6 server, allowing Silva to escape."
1,Skyfall,"Silva wanted to be captured as part of a plan to kill M, who he hates for betraying him to the Chinese government in 1997, so he tried to kill himself with a cyanide pill."
1,Skyfall,Silva escapes his cell and Bond chases him through the London Underground to stop Silva's attack at a Parliament inquiry.
1,Skyfall,"Instructing Q and Bill to leave an electronic trail for Silva to follow, Bond takes M to Skyfall from his childhood home in the Scottish Highlands."
1,Skyfall,They met Skyfall's gamekeeper Kincade and together they set up a series of booby traps.
1,Skyfall,"Bond, M, and Kincade kill a lot of Silva's men, but M is wounded."
1,Skyfall,"Silva arrives by helicopter with more men and heavy weapons, so Bond sends M and Kincade through a priest hole to hide in a nearby chapel."
1,Skyfall,Bond escapes down the tunnel when the house and helicopter are destroyed.
1,Skyfall,Silva survived the destruction of the house.
1,Skyfall,"Silva pressed his temple to hers, begging her to kill them both, as he confronted M."
1,Skyfall,Bond stabbed Silva in the back.
1,Skyfall,M is dead in Bond's arms.
1,Skyfall,Moneypenny introduces herself to Bond after M's funeral and tells him she is retiring from fieldwork to become the new secretary for Mallory.
1,Skyfall,"Bond is ready to get back to work, after meeting with Mallory."
2,Thor: Ragnarok,"Two years after the battle of Sokovia, Thor is imprisoned by the fire demon and learns that his father is no longer on Asgard."
2,Thor: Ragnarok,He says that the realm will be destroyed when the Eternal Flame burns in the vault.
2,Thor: Ragnarok,"After defeating Surtur, Thor took his crown, believing he had prevented Ragnark."
2,Thor: Ragnarok,The brother and sister who were posing as Odin and Heimdall were not real.
2,Thor: Ragnarok,They locate their father in Norway with the help of Stephen Strange at the Sanctum Sanctorum in New York City.
2,Thor: Ragnarok,"Hela will be freed from a prison where she has been imprisoned for years because of the death of Odin, who explains that he is dying and that Ragnark is imminent."
2,Thor: Ragnarok,"Hela, the leader of the armies of Asgard, was imprisoned and wrote out of history after she became too powerful and ambitious."
2,Thor: Ragnarok,Hela destroyed Thor's hammer Mjolnir as he died.
2,Thor: Ragnarok,She forced the two out into space as they tried to flee through the Bifrst Bridge.
2,Thor: Ragnarok,She defeats the army and kills the Warriors Three.
2,Thor: Ragnarok,"She resurrects the ancient dead who fought with her, including her giant wolf Fenris, and appoints the Asgardian Skurge as her executioner."
2,Thor: Ragnarok,"Hela is going to use the Bifrst to expand the empire, but Heimdall sneaks in and takes the sword that controls the Bifrost."
2,Thor: Ragnarok,There is a garbage planet surrounded by wormholes.
2,Thor: Ragnarok,"A slave trader named Scrapper subdues him with an obedience disk and sells him to the ruler of Sakaar, who has already ingratiated himself."
2,Thor: Ragnarok,One of the legendary force of female warriors who were killed fighting Hela was identified as 142.
2,Thor: Ragnarok,"In the contest of champion, he has to face off against his old friend."
2,Thor: Ragnarok,The Grandmaster sabotages the fight to ensure Hulk's victory.
2,Thor: Ragnarok,"After the fight, Thor is still enslaved, but he is trying to get the help of Hulk and 142 to save Asgard."
2,Thor: Ragnarok,He was able to escape the palace and find the Quinjet.
2,Thor: Ragnarok,The Quinjet is where a recording ofNatasha Romanoff causes Bruce Banner to transform back into Bruce Banner for the first time since Sokovia.
2,Thor: Ragnarok,"The Grandmaster ordered 142 and Loki to find the two heroes, but the pair came to blows and she was forced to relive the deaths of her friends at the hands of Hela."
2,Thor: Ragnarok,She decided to help Thor.
2,Thor: Ragnarok,The group has the means to steal one of the Grandmaster's ships.
2,Thor: Ragnarok,Two aliens named Korg and Miek inspired the gladiators to stage a revolution.
2,Thor: Ragnarok,"Korg, Miek, and the gladiators find him when he is left behind by his brother, who tries to betray him again."
2,Thor: Ragnarok,Hela's forces attack Heimdall and the remaining Asgardians in pursuit of the sword that controls the Bifrst as they escape through a wormhole to Asgard.
2,Thor: Ragnarok,"Banner defeated Fenris, while Thor and 142 fought Hela and her warriors."
2,Thor: Ragnarok,The citizens are rescued by the gladiators and a repentant Skurge sacrifice himself to help them escape.
2,Thor: Ragnarok,"While facing Hela, he lost his right eye and had a vision that helped him realize that only Ragnark could stop her."
2,Thor: Ragnarok,He wants to place the crown in the Eternal Flame.
